date,precision,category,title_en,title_es,summary_en,summary_es,source_url,link_en,link_es
2026-09-01,day,courts,"The government asks the Supreme Court to decide the interior-arrest bond split — a petition, not a grant (Rhoney v. Barbosa da Cunha, No. 26-104)","El gobierno le pide a la Corte Suprema que resuelva la división sobre la fianza tras arrestos en el interior — es una petición, no una aceptación (Rhoney v. Barbosa da Cunha, n.º 26-104)","On July 23, 2026 the federal government filed a petition for a writ of certiorari asking the U.S. Supreme Court to review the Second Circuit's decision that immigrants arrested in the interior are detained under 8 U.S.C. § 1226(a) — where an immigration judge can set bond — rather than under § 1225(b)(2)(A) mandatory detention. It is docketed as Rhoney v. Barbosa da Cunha, No. 26-104, from Second Circuit No. 25-3141 (decided April 28, 2026), and the respondent's response was filed August 21, 2026. The Court has NOT granted certiorari: a petition is not a grant, the docket shows no conference date, and until the Court acts the detention rule in each circuit is unchanged. Three other things moved the split since our last review: the Eighth Circuit denied rehearing en banc and panel rehearing in Herrera Avila on June 17, 2026 and issued its mandate on June 25; the Tenth Circuit sided with the immigrants in Santillan Quiroz v. Mullin on June 30, 2026; and the Ninth Circuit did the same in Rodriguez Vazquez v. Bostock on July 30, 2026. The count is now five circuits for a bond hearing (2nd, 6th, 9th, 10th, 11th) against two for mandatory detention (5th, 8th), with the Seventh Circuit's decision failing to command a majority. One caveat on that count: the Eleventh Circuit withheld its mandate on May 13, 2026 and the government's petition for rehearing en banc, filed June 22, 2026, was still pending as of that docket's August 28, 2026 update — so its ruling is not final. Separately, the Supreme Court has set Genalo v. Black, No. 25-886, for oral argument on Tuesday, October 13, 2026 — that case is about prolonged detention under § 1226(c) and will not by itself resolve this split.","El 23 de julio de 2026 el gobierno federal presentó una petición de certiorari para que la Corte Suprema de EE.UU. revise el fallo del Segundo Circuito según el cual los inmigrantes arrestados en el interior quedan detenidos bajo 8 U.S.C. § 1226(a) — donde un juez de inmigración puede fijar fianza — y no bajo la detención obligatoria de la sección 1225(b)(2)(A). El caso se registró como Rhoney v. Barbosa da Cunha, n.º 26-104, proveniente del n.º 25-3141 del Segundo Circuito (resuelto el 28 de abril de 2026), y la respuesta del demandado se presentó el 21 de agosto de 2026. La Corte NO ha concedido certiorari: una petición no es una aceptación, el expediente no muestra fecha de conferencia y, mientras la Corte no actúe, la regla de detención de cada circuito sigue igual. Otras tres cosas movieron la división desde nuestra última revisión: el Octavo Circuito denegó la nueva audiencia en pleno y ante el panel en Herrera Avila el 17 de junio de 2026 y emitió su mandato el 25 de junio; el Décimo Circuito falló a favor de los inmigrantes en Santillan Quiroz v. Mullin el 30 de junio de 2026; y el Noveno Circuito hizo lo mismo en Rodriguez Vazquez v. Bostock el 30 de julio de 2026. El conteo ya es de cinco circuitos a favor de la audiencia de fianza (2.º, 6.º, 9.º, 10.º y 11.º) frente a dos a favor de la detención obligatoria (5.º y 8.º), y la decisión del Séptimo Circuito no logró reunir mayoría. Una advertencia sobre ese conteo: el Undécimo Circuito retuvo su mandato el 13 de mayo de 2026 y la petición del gobierno de nueva audiencia en pleno, presentada el 22 de junio de 2026, seguía pendiente según la actualización del expediente del 28 de agosto de 2026 — así que su fallo no es definitivo. Por separado, la Corte Suprema fijó los argumentos orales de Genalo v. Black, n.º 25-886, para el martes 13 de octubre de 2026 — ese caso trata de la detención prolongada bajo la sección 1226(c) y por sí solo no resolverá esta división.",https://www.supremecourt.gov/search.aspx?filename=/docket/docketfiles/html/public/26-104.html,/immigration-cases/bond-hearings-interior-ice-arrests-circuit-split/,/es/casos-de-inmigracion/audiencias-de-fianza-arrestos-interior-division-de-circuitos/
2026-08-28,day,courts,"Second court blocks the USCIS asylum/benefits hold memos — N.D. California enjoins PM 602-0192 and PM 602-0194, certifies a class (Red Eagle Law v. Edlow)",Un segundo tribunal bloquea los memorandos de pausa de USCIS — el Distrito Norte de California prohíbe los PM 602-0192 y PM 602-0194 y certifica una clase (Red Eagle Law v. Edlow),"A second court has now blocked the same policy memos. On August 24, 2026, the U.S. District Court for the Northern District of California issued an order in Red Eagle Law, L.C. v. Edlow, No. 26-cv-04850-CRB, enjoining PM 602-0192 and PM 602-0194 and ordering USCIS to adjudicate applications in the normal course. The court also certified a class: citizens or natives of the 39 countries listed in Proclamations 10949 or 10998 (or the Palestinian Authority) who have a pending asylum application (Form I-589) or another pending USCIS benefit application that was subject to the hold memos and had not received a final decision as of the certification date. USCIS updated its 'Court Order on Hold Policies' alert on August 28, 2026: it says it strongly disagrees with the order but will follow its terms pending possible further judicial review, and will issue updated instructions. USCIS has not said how this injunction interacts with the First Circuit's August 14 order reviving the Comprehensive Re-Review in the Dorcas appeal.","Un segundo tribunal ya bloqueó los mismos memorandos. El 24 de agosto de 2026, el Tribunal de Distrito de EE.UU. para el Distrito Norte de California emitió una orden en Red Eagle Law, L.C. v. Edlow, No. 26-cv-04850-CRB, que prohíbe aplicar los memorandos PM 602-0192 y PM 602-0194 y ordena a USCIS adjudicar las solicitudes en su curso normal. El tribunal también certificó una clase: ciudadanos o nativos de los 39 países de las Proclamaciones 10949 o 10998 (o de la Autoridad Palestina) con una solicitud de asilo (Formulario I-589) u otra solicitud de beneficios pendiente ante USCIS que estaba sujeta a esos memorandos de pausa y no había recibido decisión final a la fecha de la certificación. USCIS actualizó su alerta 'Court Order on Hold Policies' el 28 de agosto de 2026: dice estar en fuerte desacuerdo con la orden, pero que cumplirá sus términos mientras haya posible revisión judicial adicional, y que emitirá instrucciones actualizadas. USCIS no ha dicho cómo esta orden interactúa con la orden del Primer Circuito del 14 de agosto que reactivó la re-revisión integral en la apelación de Dorcas.",https://www.uscis.gov/newsroom/alerts/recent-court-order-on-hold-policies,/immigration-cases/asylum-benefits-adjudication-hold-vacated-39-countries/,/es/casos-de-inmigracion/pausa-de-asilo-y-beneficios-anulada-39-paises/
2026-08-25,day,enforcement,"CBP establishes four Customs-Enforcement Areas at sea — South Florida, Gulf Coast of Texas, Central/Southern California and Puerto Rico","CBP establece cuatro Áreas de Control Aduanero en el mar — sur de Florida, costa del Golfo de Texas, California central/sur y Puerto Rico","Effective August 25, 2026, the CBP Commissioner declared four Customs-Enforcement Areas under the Anti-Smuggling Act of 1935 (19 U.S.C. 1701), published as CBP Dec. No. 26-17 at 91 FR 54800. Each area sits on the high seas adjacent to but OUTSIDE US customs waters and runs out to 24 nautical miles from the baseline — it covers water further offshore, not more land, and does not change what agents may do at an inland checkpoint, on a bus, or at a home. Inside a CEA, customs officers may board any vessel, examine the vessel and any merchandise or person on board, bring them into port, and pursue, seize or arrest, and may enforce 18 U.S.C. 2237 against a master who fails to heave to or obstructs a boarding. The four areas cover the South Florida coast including the Florida Keys, the Texas Gulf Coast from the Sabine River to the Mexican maritime boundary, the California coast from Ano Nuevo Lighthouse south to the Mexican maritime boundary including eight offshore islands, and the waters encircling Puerto Rico including Mona, Desecheo, Vieques and Culebra. CBP wrote the areas to operate independently, so enjoining one leaves the others in force.","Con vigencia del 25 de agosto de 2026, el Comisionado de CBP declaró cuatro Áreas de Control Aduanero bajo la Ley Anticontrabando de 1935 (19 U.S.C. 1701), publicadas como CBP Dec. No. 26-17 en 91 FR 54800. Cada área está en alta mar, adyacente pero FUERA de las aguas aduaneras de EE. UU., y llega hasta 24 millas náuticas desde la línea base — cubre agua más mar adentro, no más territorio, y no cambia lo que los agentes pueden hacer en un retén tierra adentro, en un autobús o en una vivienda. Dentro de una CEA, los oficiales de aduanas pueden abordar cualquier embarcación, examinarla junto con la mercancía o las personas a bordo, llevarlas a puerto y perseguir, incautar o arrestar, y pueden aplicar 18 U.S.C. 2237 contra un capitán que no se detenga u obstruya un abordaje. Las cuatro áreas cubren la costa del sur de Florida incluidos los Cayos, la costa del Golfo de Texas desde el río Sabine hasta el límite marítimo con México, la costa de California desde el faro de Ano Nuevo hacia el sur hasta el límite marítimo con México incluidas ocho islas, y las aguas que rodean Puerto Rico incluidas Mona, Desecheo, Vieques y Culebra. CBP redactó las áreas para que funcionen de forma independiente, así que bloquear una deja las demás vigentes.",https://www.federalregister.gov/documents/2026/08/25/2026-17354/establishment-of-four-customs-enforcement-areas,/know-your-rights/border-zone-100-miles/,/es/conoce-tus-derechos/zona-fronteriza-100-millas/
2026-08-24,day,benefits,Correction: community health center pages no longer claim patient information is never shared with immigration authorities,Corrección: las páginas de centros de salud comunitarios ya no afirman que la información del paciente nunca se comparte con autoridades migratorias,"All 52 state community-health-center (FQHC) pages carried the blanket reassurance that patient information is not shared with immigration authorities. That is an overclaim after the 2025 HHS/CMS–ICE Medicaid data-sharing agreement, which a federal court only partially blocked on December 29, 2025. The pages now explain the HIPAA protection, the Medicaid-enrollment caveat, and that sliding-fee payment creates no Medicaid record.","Las 52 páginas estatales de centros de salud comunitarios (FQHC) llevaban la garantía general de que la información del paciente no se comparte con autoridades migratorias. Esa afirmación es excesiva tras el acuerdo de 2025 entre HHS/CMS e ICE para compartir datos de Medicaid, que un tribunal federal solo bloqueó parcialmente el 29 de diciembre de 2025. Las páginas ahora explican la protección de HIPAA, la advertencia sobre la inscripción en Medicaid y que pagar con la tarifa escalonada no crea un registro de Medicaid.",https://clearinghouse.net/case/46754/,/immigration-cases/medicaid-data-sharing-with-ice/,/es/casos-de-inmigracion/comparticion-de-datos-de-medicaid-con-ice/
2026-08-21,day,fees,"H.R.1 fees appeal: emergency stay motion withdrawn — First Circuit sets merits briefing, opening brief due September 30, 2026","Apelación de tarifas H.R.1: retirada la moción de emergencia — el Primer Circuito fija alegatos de fondo, escrito inicial para el 30 de septiembre de 2026","In the H.R.1 immigration-fees appeal (Venezuelan Ass'n of Mass. v. USCIS, 1st Cir. No. 26-1893), the plaintiffs withdrew their renewed emergency stay motion on August 20, 2026, and on August 21 the court granted the withdrawal and set a merits briefing schedule with the appellants' opening brief due September 30, 2026. No emergency ruling will issue, so the one-year cap on TPS-based work permits keeps operating while the appeal is briefed.","En la apelación de tarifas migratorias de la H.R.1 (Venezuelan Ass'n of Mass. v. USCIS, Primer Circuito No. 26-1893), los demandantes retiraron su moción de emergencia renovada el 20 de agosto de 2026, y el 21 de agosto la corte aceptó el retiro y fijó un calendario de alegatos de fondo con el escrito inicial de los apelantes para el 30 de septiembre de 2026. Ya no habrá una decisión de emergencia, así que el tope de un año para los permisos de trabajo basados en TPS sigue operando mientras se presentan los alegatos.",https://www.courtlistener.com/docket/73728632/venezuelan-association-of-massachusetts-v-united-states-citizenship-and/,/immigration-cases/hr1-obbba-asylum-ead-tps-immigration-fees-2025/,/es/casos-de-inmigracion/tarifas-migratorias-hr1-obbba-asilo-permiso-trabajo-tps-2025/
2026-08-20,day,taxes,"Treasury/IRS propose restricting the refunded portion of the CTC, EITC, AOTC, and adoption credit to citizens and PRWORA qualified aliens","El Tesoro y el IRS proponen restringir la porción reembolsada del CTC, EITC, AOTC y crédito por adopción a ciudadanos y extranjeros calificados bajo PRWORA","Proposed regulations published Aug. 20, 2026 (REG-119882-25, 91 FR 53812) would treat the refunded portion of the Child Tax Credit, Earned Income Tax Credit, American Opportunity Credit, and adoption credit as a federal public benefit under PRWORA. Only U.S. citizens, U.S. nationals, and PRWORA qualified aliens (lawful permanent residents, asylees, refugees, and certain other groups) could receive the refunded portion; on a joint return one qualifying spouse suffices, and the non-refundable portion that offsets tax owed is unaffected. This is a proposal, not current law — it would apply to tax years ending on or after the date final regulations publish. Comments are open through Oct. 5, 2026.","Regulaciones propuestas publicadas el 20 de agosto de 2026 (REG-119882-25, 91 FR 53812) tratarían la porción reembolsada del Crédito Tributario por Hijos, el Crédito por Ingreso del Trabajo, el Crédito American Opportunity y el crédito por adopción como un beneficio público federal bajo PRWORA. Solo ciudadanos de EE.UU., nacionales de EE.UU. y extranjeros calificados bajo PRWORA (residentes permanentes, asilados, refugiados y ciertos otros grupos) podrían recibir la porción reembolsada; en una declaración conjunta basta un cónyuge que califique, y la porción no reembolsable que reduce el impuesto adeudado no se afecta. Es una propuesta, no ley vigente — aplicaría a años fiscales que terminen en o después de la publicación de las regulaciones finales. Los comentarios están abiertos hasta el 5 de octubre de 2026.",https://www.federalregister.gov/documents/2026/08/20/2026-16985/application-of-the-personal-responsibility-and-work-opportunity-reconciliation-act-of-1996-to-the,/taxes/itin/tax-credits-eligible-with-itin/,/es/impuestos/itin/creditos-fiscales-elegibles-con-itin/
2026-08-20,day,taxes,IRS launches a digitally authenticated Tax Compliance Report in Individual Online Account,El IRS lanza un Informe de Cumplimiento Tributario con autenticación digital en la Cuenta en Línea Individual,"On Aug. 20, 2026 the IRS announced a downloadable Tax Compliance Report (IR-2026-97), available through IRS Individual Online Account, for use when applying for a job, a loan, a government benefit, or another service that requires tax-compliance information. Each report carries an IRS-issued digital certificate so receiving organizations can verify its authenticity. It complements, not replaces, the five transcript types.","El 20 de agosto de 2026 el IRS anunció un Informe de Cumplimiento Tributario descargable (IR-2026-97), disponible en la Cuenta en Línea Individual del IRS, para usarse al solicitar un empleo, un préstamo, un beneficio del gobierno u otro servicio que exija información de cumplimiento tributario. Cada informe lleva un certificado digital emitido por el IRS para que la organización receptora verifique su autenticidad. Complementa, no reemplaza, los cinco tipos de transcripción.",https://www.irs.gov/newsroom/irs-launches-digitally-authenticated-tax-compliance-report,/taxes/irs-transcript/,/es/impuestos/transcripcion-irs/
2026-08-18,day,procedures,USCIS publishes the public-charge framework that replaces the 2022 rule on September 18,USCIS publica el marco de carga pública que reemplaza la regla de 2022 el 18 de septiembre,"On Aug. 18, 2026 USCIS published Policy Manual guidance, effective Sept. 18, 2026, that supersedes the 1999 Interim Field Guidance and governs public-charge determinations for I-485s filed on or after that date. Officers weigh five statutory factors case-by-case. Means-tested benefits received before Sept. 18, 2026 are considered only if they were cash assistance or long-term institutionalization (the 2022-rule limits); benefits the applicant receives on or after that date can all be considered — USCIS names cash assistance, housing assistance, food stamps, and college financial aid. Public-charge bonds (Form I-945) return, by USCIS invitation in a Notice of Intent to Deny only.","El 18 de agosto de 2026 USCIS publicó una guía del Manual de Políticas, vigente desde el 18 de septiembre de 2026, que sustituye la Guía de Campo Interina de 1999 y rige las determinaciones de carga pública para los I-485 presentados a partir de esa fecha. Los oficiales ponderan cinco factores estatutarios caso por caso. Los beneficios sujetos a comprobación de recursos recibidos antes del 18 de septiembre de 2026 solo se consideran si fueron asistencia en efectivo o institucionalización de largo plazo (los límites de la regla de 2022); los que el solicitante reciba a partir de esa fecha pueden considerarse todos — USCIS nombra la asistencia en efectivo, la ayuda de vivienda, los cupones de alimentos y la ayuda financiera universitaria. Vuelven las fianzas de carga pública (Formulario I-945), solo por invitación de USCIS en un Aviso de Intención de Denegar.",https://www.uscis.gov/newsroom/alerts/uscis-issues-guidance-on-making-public-charge-inadmissibility-determination,/procedures/public-charge/,/es/tramites/public-charge/
2026-08-18,day,tps,Ethiopia TPS terminated — the last court stay is lifted,TPS de Etiopía terminado — se levanta la última suspensión judicial,"On Aug. 18, 2026 Judge Brian E. Murphy of the District of Massachusetts lifted the administrative stay in African Communities Together v. Noem (No. 1:26-cv-10278, ECF 103), dismissing Counts I-IV and VI-VIII, denying dismissal of Count V, denying the postponement motion as moot, and ordering a joint discovery and briefing schedule by Aug. 25, 2026. USCIS archived the Ethiopia TPS page the same day and E-Verify guidance issued Aug. 18 (superseding Aug. 6) states the designation is terminated, effective Aug. 18, 2026 — A12/C19 EADs are no longer valid and employers must reverify. Ethiopia's promised Form I-9 date was Aug. 19, so it was cut one day short. No TPS designation is court-stayed any more.","El 18 de agosto de 2026 el juez Brian E. Murphy del Distrito de Massachusetts levantó la suspensión administrativa en African Communities Together v. Noem (No. 1:26-cv-10278, ECF 103), desestimando los Cargos I-IV y VI-VIII, negando la desestimación del Cargo V, declarando sin materia la moción de aplazamiento, y ordenando un calendario conjunto de descubrimiento y alegatos antes del 25 de agosto de 2026. USCIS archivó la página del TPS de Etiopía ese mismo día y la guía de E-Verify del 18 de agosto (que reemplaza la del 6 de agosto) indica que la designación está terminada, con efecto el 18 de agosto de 2026 — los EAD A12/C19 ya no son válidos y los empleadores deben reverificar. La fecha prometida del Formulario I-9 de Etiopía era el 19 de agosto, así que se recortó un día. Ninguna designación de TPS sigue suspendida.",https://www.e-verify.gov/about-e-verify/whats-new/termination-of-temporary-protected-status-for-ethiopia-release-aug-18-2026,/procedures/tps-by-country/ethiopia/,/es/tramites/tps-por-pais/ethiopia/
2026-08-17,day,procedures,"Overtime corrected for daily-overtime states: California, Alaska, Nevada, Colorado","Horas extras corregidas para estados con regla diaria: California, Alaska, Nevada y Colorado","Our state wage pages stated overtime as the federal 1.5x-over-40h/week rule everywhere. Four states guarantee more: California (1.5x after 8h/day or 40h/week; 2x after 12h/day — Labor Code §510), Alaska (1.5x after 8h/day or 40h/week — Alaska Stat. §23.10.060), Nevada (1.5x after 8h in a 24-hour period for workers earning under 1.5x the state minimum wage — NRS 608.018), and Colorado (1.5x after 40h/week, 12h/workday, or 12 consecutive hours — COMPS Order Rule 4.1.1). Those four pages now state the state rule.","Nuestras páginas estatales de salarios presentaban las horas extras solo con la regla federal de 1.5x sobre 40h/semana. Cuatro estados garantizan más: California (1.5x después de 8h/día o 40h/semana; 2x después de 12h/día — Labor Code §510), Alaska (1.5x después de 8h/día o 40h/semana — Alaska Stat. §23.10.060), Nevada (1.5x después de 8h en un período de 24 horas si gana menos de 1.5x el salario mínimo estatal — NRS 608.018) y Colorado (1.5x después de 40h/semana, 12h/día o 12 horas consecutivas — COMPS Order Regla 4.1.1). Esas cuatro páginas ya muestran la regla estatal.",https://www.dir.ca.gov/dlse/faq_overtime.htm,/procedures/work-wages-by-state/california/,/es/tramites/trabajo-salarios-por-estado/california/
