id,title_en,title_es,case_name,docket,court_en,court_es,status,status_label_en,status_label_es,what_it_affects_en,what_it_affects_es,people_affected,timeline_events,first_event,latest_event,last_checked,url_en,url_es
detention-bond-hearings,Prolonged immigration detention & bond hearings,Detención migratoria prolongada y audiencias de fianza,Genalo v. Black,No. 25-886,U.S. Supreme Court (on certiorari to the U.S. Court of Appeals for the Second Circuit),Corte Suprema de EE.UU. (certiorari del Segundo Circuito),awaiting_decision,Awaiting decision,En espera de fallo,"Noncitizens, including lawful permanent residents, who are already physically in the United States and held in mandatory ICE custody under 8 U.S.C. Section 1226(c) for prolonged periods (months to years) while their removal proceedings are pending. The case will determine whether such prolonged detention triggers a constitutional right to an individualized bond hearing and, if so, whether the government must justify continued detention by clear and convincing evidence; the right currently recognized by the Second Circuit (covering immigration detention in New York, Connecticut, and Vermont) is at stake nationwide given a circuit split.","No ciudadanos, incluidos residentes permanentes legales, que ya están físicamente en EE.UU. y están bajo custodia obligatoria de ICE conforme a 8 U.S.C. § 1226(c) por periodos prolongados (meses o años) mientras se resuelve su proceso de deportación. El caso decidirá si esa detención prolongada genera un derecho constitucional a una audiencia individual de fianza y, de ser así, si el gobierno debe justificar la detención continua con prueba clara y convincente.",,7,2024,2026-10-13,2026-09-01,/immigration-cases/immigration-detention-bond-hearings/,/es/casos-de-inmigracion/audiencias-fianza-detencion-inmigratoria/
pacito-v-trump-refugee-suspension,Pacito v. Trump: Court Challenge to the Refugee Admissions (USRAP) Suspension,Pacito contra Trump: demanda contra la suspensión de admisiones de refugiados (USRAP),Pacito v. Trump,9th Cir. Nos. 25-1313 & 25-1939; W.D. Wash. No. 2:25-cv-00255,U.S. Court of Appeals for the Ninth Circuit (on appeal from the U.S. District Court for the Western District of Washington),Corte de Apelaciones de EE.UU. para el Noveno Circuito (en apelación del Tribunal de Distrito de EE.UU. para el Distrito Oeste de Washington),partially_blocked,Partially blocked,Parcialmente bloqueada,"Refugees who have already arrived in the United States, especially those resettled within the last 90 days, remain entitled to the domestic reception and placement services (housing help, cash assistance, case management) that the court preserved. Refugees who were approved before the suspension but had not yet entered generally cannot complete travel while the admissions pause stands. U.S.-based petitioners in the Follow-to-Join (Form I-730) family reunification process, and the case's three certified classes, are also affected. This is a preliminary-injunction ruling, not a final decision on the program's legality.","Los refugiados que ya llegaron a Estados Unidos, en especial quienes fueron reasentados en los últimos 90 días, conservan el derecho a los servicios nacionales de recepción y ubicación (ayuda con vivienda, asistencia en efectivo, gestión de casos) que el tribunal preservó. Los refugiados aprobados antes de la suspensión pero que aún no habían entrado por lo general no pueden completar su viaje mientras siga la pausa de admisiones. También se ven afectados los peticionarios en Estados Unidos dentro del proceso de reunificación familiar Follow-to-Join (Formulario I-730) y las tres clases certificadas en el caso. Esta es una decisión sobre mandatos preliminares, no una decisión final sobre la legalidad del programa.",,7,2025-01-20,2026-09-08,2026-08-26,/immigration-cases/refugee-admissions-suspension-usrap/,/es/casos-de-inmigracion/suspension-de-admisiones-de-refugiados-usrap/
tennessee-sb1779-remain-after-removal,Tennessee HB 1704 / SB 1779 (Public Chapter 771): state crime for remaining after a final removal order,HB 1704 / SB 1779 de Tennessee (Capítulo Público 771): delito estatal por permanecer tras una orden final de expulsión,Lucy v. Skrmetti,"Tenn. Public Chapter 771 (HB 1704 / SB 1779); Lucy v. Skrmetti, No. 3:26-cv-00998 (M.D. Tenn.) (first suit: No. 3:26-cv-00763, dismissed June 26, 2026)",U.S. District Court for the Middle District of Tennessee (Nashville Division),Tribunal de Distrito de EE. UU. para el Distrito Medio de Tennessee (División de Nashville),in_effect,Policy in effect,Política en vigor,"Section 1 of Tennessee's HB 1704 (Public Chapter 771) creates a new state crime — a Class A misdemeanor punishable by up to 11 months and 29 days in jail and a fine of up to $2,500. It applies only to a person 18 or older who (1) is a noncitizen against whom a valid final order of removal is outstanding by reason of being a member of one of the deportability classes listed in 8 U.S.C. § 1227(a), and (2) intentionally fails or refuses to leave Tennessee within 90 days of that final removal order. It does not reach every noncitizen who has a removal order — it is limited to people removable under the § 1227(a) deportability grounds. The statute directs the court to stay the criminal case while the person is still pursuing available federal avenues to challenge the removal order. This is Tennessee state criminal law; federal immigration enforcement is separate. A second offense in the same act (Section 2, illegal re-entry into the state) does not take effect unless and until federal law changes, and is not addressed by this litigation.","La Sección 1 de la HB 1704 de Tennessee (Capítulo Público 771) crea un nuevo delito estatal: un delito menor de Clase A castigado con hasta 11 meses y 29 días de cárcel y una multa de hasta $2,500. Solo se aplica a una persona de 18 años o más que (1) sea un no ciudadano contra quien exista una orden final de expulsión válida y vigente por ser miembro de una de las categorías de deportabilidad enumeradas en 8 U.S.C. § 1227(a), y que (2) de forma intencional no salga o se niegue a salir de Tennessee dentro de los 90 días siguientes a esa orden final de expulsión. No abarca a todo no ciudadano que tenga una orden de expulsión: se limita a las personas expulsables conforme a los fundamentos de deportabilidad del § 1227(a). La ley ordena al tribunal suspender el proceso penal mientras la persona siga agotando las vías federales disponibles para impugnar la orden de expulsión. Es ley penal estatal de Tennessee; la aplicación de la ley migratoria federal es algo aparte. Un segundo delito de la misma ley (Sección 2, reingreso ilegal al estado) no entra en vigor a menos que cambie la ley federal, y no es objeto de este litigio.",,9,2026-04-06,2026-08-31,2026-09-01,/immigration-cases/tennessee-sb-1779-remaining-after-a-removal-order/,/es/casos-de-inmigracion/tennessee-sb-1779-permanecer-tras-una-orden-de-expulsion/
benefits-adjudication-hold-vacated,Court vacates USCIS asylum and benefits adjudication holds (39 countries),Un tribunal anula las pausas de USCIS en asilo y beneficios (39 países),Dorcas International Institute of Rhode Island v. U.S. Citizenship and Immigration Services,D.R.I. No. 1:26-cv-00132-JJM-PAS (on appeal: 1st Cir. No. 26-1703),U.S. District Court for the District of Rhode Island,Tribunal de Distrito de EE.UU. para el Distrito de Rhode Island,decided,Decided,Resuelto,"People from 39 ""travel-ban"" countries — which include large Cuban, Haitian, and Venezuelan communities — whose green-card (adjustment of status), work-permit (EAD), naturalization, and other USCIS benefit applications had been frozen, plus anyone with a pending asylum or withholding-of-removal case, since that hold applied regardless of nationality. With most of the ruling in effect, USCIS is again issuing decisions on these applications and is no longer weighing country of origin as an automatic negative factor. One exception applies since August 14, 2026: while the appeal proceeds, a First Circuit order lets USCIS resume re-reviewing already-approved cases of people from the designated countries who entered the United States on or after January 20, 2021. None of this changes who qualifies for any benefit. Since August 24, 2026, a separate class-wide injunction from the Northern District of California (Red Eagle Law v. Edlow) independently bars USCIS from applying the two hold memos to class members and orders normal-course adjudication.","Personas de 39 países sujetos a la ""prohibición de viaje"" — que incluyen a grandes comunidades cubana, haitiana y venezolana — cuyas solicitudes de green card (ajuste de estatus), permiso de trabajo (EAD), naturalización y otros beneficios de USCIS estaban congeladas, además de cualquier persona con un caso pendiente de asilo o de retención de expulsión, ya que esa pausa se aplicaba sin importar la nacionalidad. Con la mayor parte del fallo en vigor, USCIS vuelve a emitir decisiones sobre estas solicitudes y ya no considera el país de origen como un factor negativo automático. Hay una excepción desde el 14 de agosto de 2026: mientras avanza la apelación, una orden del Primer Circuito permite a USCIS volver a re-revisar los casos ya aprobados de personas de los países designados que entraron a Estados Unidos el 20 de enero de 2021 o después. Nada de esto cambia quién califica para ningún beneficio. Desde el 24 de agosto de 2026, una orden judicial de clase separada del Distrito Norte de California (Red Eagle Law v. Edlow) prohíbe de forma independiente a USCIS aplicar los dos memorandos de pausa a los miembros de la clase y ordena adjudicar en curso normal.",,9,2025-12-02,2026-08-28,2026-08-28,/immigration-cases/asylum-benefits-adjudication-hold-vacated-39-countries/,/es/casos-de-inmigracion/pausa-de-asilo-y-beneficios-anulada-39-paises/
tps-terminations,TPS termination litigation,Litigio sobre la terminación del TPS,Mullin v. Doe / Trump v. Miot; National TPS Alliance v. Noem,Nos. 25-1083 & 25-1084 (U.S.); No. 25A326 (U.S.); 3:25-cv-01766 (N.D. Cal.),U.S. Supreme Court; 9th Circuit; N.D. California,Corte Suprema de EE.UU.; Noveno Circuito; Distrito Norte de California,in_effect,Policy in effect,Política en vigor,"Holders of Temporary Protected Status from countries whose 2025 termination notices were challenged in court — chiefly Venezuela, Haiti, Syria, Honduras, Nicaragua and Nepal — and their U.S. employers and U.S.-citizen children. After the June 25, 2026 ruling these terminations are in effect.","Titulares del Estatus de Protección Temporal de países cuyos avisos de terminación de 2025 fueron impugnados en los tribunales — principalmente Venezuela, Haití, Siria, Honduras, Nicaragua y Nepal — y sus empleadores e hijos ciudadanos estadounidenses. Tras el fallo del 25 de junio de 2026, estas terminaciones están en vigor.",334595,20,2025-05-19,2026-08-25,2026-08-31,/immigration-cases/tps-termination-litigation/,/es/casos-de-inmigracion/litigio-terminacion-tps/
naturalization-fee-increase-2026,"USCIS Proposes Raising the N-400 Citizenship Fee to $1,330 and Ending Fee Waivers","USCIS propone subir la tarifa de ciudadanía N-400 a $1,330 y eliminar las exenciones de tarifa","Naturalization Application Fee Adjustments (N-400 fee to $1,330; fee waivers eliminated)",Federal Register Doc. 2026-12542; DHS Docket No. USCIS-2026-0265 (CIS No. 2834-25); RIN 1615-AD08,U.S. Department of Homeland Security / U.S. Citizenship and Immigration Services (Federal Register rulemaking),Departamento de Seguridad Nacional de EE.UU. / Servicio de Ciudadanía e Inmigración (reglamentación en el Registro Federal),awaiting_decision,Awaiting decision,En espera de fallo,"The proposal would raise the paper Form N-400 (Application for Naturalization) fee from $760 to $1,330 and the online fee from $710 to $1,280 (about a 75–80% increase), and raise the Form N-336 (request for a hearing after an N-400 denial) fee from $830 to $1,475 for paper filing and from $780 to $1,425 online. It would also eliminate the $380 reduced-fee option for applicants at or below 400% of the Federal Poverty Guidelines and end fee waivers for both Form N-400 and Form N-336. Statutory fee exemptions for qualifying military service members naturalizing under INA sections 328 and 329 would remain. It affects lawful permanent residents applying for U.S. citizenship, especially lower-income applicants who currently rely on a fee waiver or the reduced fee. This is general information, not legal advice.","La propuesta subiría la tarifa del Formulario N-400 (Solicitud de Naturalización) en papel de $760 a $1,330 y la tarifa en línea de $710 a $1,280 (un aumento de aproximadamente 75–80%), y subiría la tarifa del Formulario N-336 (solicitud de audiencia tras una negación del N-400) de $830 a $1,475 en papel y de $780 a $1,425 en línea. También eliminaría la opción de tarifa reducida de $380 para solicitantes con ingresos iguales o inferiores al 400% de las Guías Federales de Pobreza y terminaría con las exenciones de tarifa tanto para el Formulario N-400 como para el N-336. Se mantendrían las exenciones de tarifa establecidas por ley para los miembros del servicio militar que se naturalizan bajo las secciones 328 y 329 de la INA. Afecta a los residentes permanentes legales que solicitan la ciudadanía estadounidense, en especial a los solicitantes de bajos ingresos que hoy dependen de una exención o de la tarifa reducida. Esta es información general, no asesoría legal.",,2,2026-06-23,2026-08-24,2026-08-26,/immigration-cases/n-400-citizenship-fee-increase-fee-waiver-elimination-2026/,/es/casos-de-inmigracion/aumento-tarifa-ciudadania-n-400-eliminacion-exencion-2026/
interior-arrest-bond-circuit-split,Bond hearings after interior ICE arrests: circuit split,Audiencias de fianza tras arrestos de ICE en el interior: división de circuitos,Rhoney v. Barbosa da Cunha; Cunha v. Freden; Buenrostro-Mendez v. Bondi; Herrera Avila v. Bondi; Hernandez Alvarez v. Warden; Santillan Quiroz v. Mullin; Rodriguez Vazquez v. Bostock,U.S. No. 26-104; 2d Cir. No. 25-3141; 5th Cir. No. 25-20496; 8th Cir. No. 25-3248; 9th Cir. No. 25-6842; 10th Cir. No. 26-6019; 11th Cir. No. 25-14065,"U.S. Courts of Appeals (2nd, 5th, 6th, 7th, 8th, 9th, 10th & 11th Circuits); certiorari petition pending at the U.S. Supreme Court","Cortes de Apelaciones de EE.UU. (Circuitos 2.º, 5.º, 6.º, 7.º, 8.º, 9.º, 10.º y 11.º); petición de certiorari pendiente en la Corte Suprema de EE.UU.",active_litigation,Active litigation,Litigio activo,"Immigrants who entered the U.S. without inspection, have been living here, and are arrested in the interior (not at or near the border) and placed in removal proceedings — and their ability to ask an immigration judge for release on bond while their case is pending. Whether a bond hearing is available now depends on the circuit where the person is detained: the courts of appeals have held one is available in the 2nd Circuit (Connecticut, New York, Vermont), the 6th (Kentucky, Michigan, Ohio, Tennessee), the 9th (Alaska, Arizona, California, Hawaii, Idaho, Montana, Nevada, Oregon, Washington), the 10th (Colorado, Kansas, New Mexico, Oklahoma, Utah, Wyoming) and the 11th (Alabama, Florida, Georgia), but not in the 5th Circuit (Louisiana, Mississippi, Texas) or the 8th Circuit (Arkansas, Iowa, Minnesota, Missouri, Nebraska, North Dakota, South Dakota); the 7th Circuit's decision was splintered and failed to command a majority on this issue, though the plaintiffs won the bottom-line result there. The 11th Circuit ruling is not final: that court withheld its mandate on May 13, 2026, and the government's petition for rehearing en banc, filed June 22, 2026, was still pending on the docket as of its August 28, 2026 update. This does not change mandatory detention for people caught at or near the border, or mandatory detention under § 1226(c) for certain criminal or terrorism-related grounds.","Inmigrantes que entraron a EE. UU. sin inspección, han estado viviendo aquí y son arrestados en el interior (no en la frontera ni cerca de ella) y puestos en proceso de deportación — y su posibilidad de pedirle a un juez de inmigración la libertad bajo fianza mientras su caso está pendiente. Que haya o no audiencia de fianza depende ahora del circuito donde la persona esté detenida: las cortes de apelaciones han resuelto que sí la hay en el 2.º Circuito (Connecticut, Nueva York, Vermont), el 6.º (Kentucky, Michigan, Ohio, Tennessee), el 9.º (Alaska, Arizona, California, Hawái, Idaho, Montana, Nevada, Oregón, Washington), el 10.º (Colorado, Kansas, Nuevo México, Oklahoma, Utah, Wyoming) y el 11.º (Alabama, Florida, Georgia), pero no en el 5.º Circuito (Luisiana, Misisipi, Texas) ni en el 8.º Circuito (Arkansas, Iowa, Minnesota, Misuri, Nebraska, Dakota del Norte, Dakota del Sur); la decisión del 7.º Circuito fue fragmentada y no logró reunir mayoría sobre esta cuestión, aunque allí los demandantes ganaron en el resultado final. El fallo del 11.º Circuito no es definitivo: esa corte retuvo su mandato el 13 de mayo de 2026 y la petición del gobierno de nueva audiencia en pleno, presentada el 22 de junio de 2026, seguía pendiente en el expediente según su actualización del 28 de agosto de 2026. Esto no cambia la detención obligatoria de quienes son detenidos en la frontera o cerca de ella, ni la detención obligatoria de la sección 1226(c) por ciertos antecedentes penales o de terrorismo.",,14,2026-02-06,2026-08-21,2026-09-01,/immigration-cases/bond-hearings-interior-ice-arrests-circuit-split/,/es/casos-de-inmigracion/audiencias-de-fianza-arrestos-interior-division-de-circuitos/
hr1-obbba-immigration-fees-2025,"New H.R.1 (OBBBA) Immigration Fees: Asylum, Work Permit (EAD), and TPS Charges","Nuevas tarifas migratorias de la H.R.1 (OBBBA): asilo, permiso de trabajo (EAD) y TPS","USCIS Immigration Fees Required by H.R.1 (OBBBA) — new asylum, EAD, and TPS fees","FR Doc. 2025-13738; 90 FR 34511 (Jul 22, 2025)","U.S. Citizenship and Immigration Services (DHS), Federal Register notice","Servicio de Ciudadanía e Inmigración de EE.UU. (USCIS/DHS), aviso del Registro Federal",partially_blocked,Partially blocked,Parcialmente bloqueada,"People applying for or with a pending asylum case (Form I-589); asylum seekers, parolees, and TPS holders who apply for or renew a work permit (Form I-765/EAD); and people registering or re-registering for Temporary Protected Status (Form I-821). These are three of the largest humanitarian categories, and the charges apply even to filings that used to be free. Because the fees cannot be waived, they raise the up-front cost of applying for humanitarian protection and work authorization.","Personas que solicitan asilo o que tienen un caso de asilo pendiente (Formulario I-589); solicitantes de asilo, personas con parole y titulares de TPS que solicitan o renuevan un permiso de trabajo (Formulario I-765/EAD); y personas que se registran o se vuelven a registrar para el Estatus de Protección Temporal (Formulario I-821). Son tres de las categorías humanitarias más grandes, y las tarifas se aplican incluso a trámites que antes eran gratuitos. Como no se pueden exonerar, aumentan el costo inicial de solicitar protección humanitaria y autorización de trabajo.",,12,2025-07-04,2026-08-21,2026-08-26,/immigration-cases/hr1-obbba-asylum-ead-tps-immigration-fees-2025/,/es/casos-de-inmigracion/tarifas-migratorias-hr1-obbba-asilo-permiso-trabajo-tps-2025/
expedited-removal-expansion,Nationwide expedited-removal expansion,Expansión nacional de la expulsión acelerada,Make the Road New York v. Mullin,D.C. Cir. No. 25-5320; D.D.C. No. 1:25-cv-00190,U.S. Court of Appeals for the D.C. Circuit (on appeal from the U.S. District Court for the District of Columbia),Circuito de DC (apelación del Tribunal Federal del Distrito de Columbia),in_effect,Policy in effect,Política en vigor,"Noncitizens already physically inside the U.S. who entered without admission or parole and cannot prove at least two years of continuous presence. The restored 2025 rule lets DHS place them in expedited removal — summary deportation without a hearing before an immigration judge — anywhere in the country's interior, not only near the border.","No ciudadanos que ya están físicamente dentro de EE.UU., que entraron sin admisión ni parole y no pueden probar al menos dos años de presencia continua. La regla de 2025 restaurada permite al DHS colocarlos en expulsión acelerada — deportación sumaria sin audiencia ante un juez de inmigración — en cualquier parte del interior del país, no solo cerca de la frontera.",,6,2025-01-21,2026-08-17,2026-09-01,/immigration-cases/expedited-removal-expansion/,/es/casos-de-inmigracion/expansion-expulsion-acelerada/
duration-of-status-fixed-admission,"End of ""duration of status"" for F-1, J-1, and I (final — effective Sept. 15, 2026)","Fin de la ""duración de estatus"" para F-1, J-1 e I (final — vigente 15 sep 2026)","Establishing a Fixed Time Period of Admission and an Extension of Stay Procedure for Nonimmigrant Academic Students, Exchange Visitors, and Representatives of Foreign Information Media",DHS Docket No. ICEB-2025-0001; RIN 1653-AA95; NPRM at 90 FR 42070 (FR Doc. 2025-16554),DHS / ICE rulemaking — not a court case,Reglamentación de DHS / ICE — no es un caso judicial,decided,Decided,Resuelto,"F (academic students), J (exchange visitors), and I (foreign information-media) nonimmigrants and their dependents. The final rule replaces open-ended “duration of status” admission with a fixed admission period — for F-1, up to 4 years or the program end date, whichever is shorter — keeps a 30-day grace period, and requires an extension-of-stay application to USCIS for additional time. Transition: those already in the U.S. on D/S keep their status until the program end date on their Form I-20 or DS-2019 or 4 years after the effective date, whichever comes first (new 8 CFR 214.1(m)(1)(ii)); anyone who travels abroad after the effective date receives an I-94 with a fixed date on return.","No inmigrantes F (estudiantes académicos), J (visitantes de intercambio) e I (representantes de medios de información extranjeros) y sus dependientes. La regla final reemplaza la admisión indefinida por “duración de estatus” con un periodo de admisión fijo — para F-1, hasta 4 años o la fecha de fin del programa, lo que sea más corto — mantiene un periodo de gracia de 30 días, y exige una solicitud de extensión de estadía ante USCIS para más tiempo. Transición: quienes ya están en EE.UU. con D/S conservan su estatus hasta la fecha de fin del programa en su Formulario I-20 o DS-2019 o 4 años después de la fecha de vigencia, lo que ocurra primero (nuevo 8 CFR 214.1(m)(1)(ii)); quien viaje al extranjero después de la fecha de vigencia recibe al regresar un I-94 con fecha fija.",,6,2025-08-28,2026-08-14,2026-08-26,/immigration-cases/end-of-duration-of-status-f1-j1-students/,/es/casos-de-inmigracion/fin-de-la-duracion-de-estatus-estudiantes-f1-j1/
